


2022/3/18                          Insight Job                             00:01
            Trend Interval Report : AHU-103-ALL-DATA ( Revision 4 ) 
 
Selection:  AHU-103-CW-V, AHU-103-HW-V, AHU-103-HZ-V, AHU-103-RA-RH, ...
(7 Points)
________________________________________________________________________________
Key            Name:Suffix                                Trend Definitions Used
Point_1:       AHU-103-CW-V                               1 minute
Point_2:       AHU-103-HW-V                               1 minute
Point_3:       AHU-103-HZ-V                               1 minute
Point_4:       AHU-103-RA-RH                              1 minute
Point_5:       AHU-103-RA-T                               1 minute
Point_6:       AHU-103-RH-V                               1 minute
Point_7:       AHU-103-SA-P                               1 minute
Time Interval:      15 Minutes
Date Range:         2022/3/17 00:00:00 - 2022/3/17 23:59:59
Report Timings:     All Hours
 
<>Date    Time        Point_1     Point_2     Point_3     Point_4     Point_5     Point_6     Point_7     
2022/3/17 13:15:00     94.2        3.8         41.1        51.6        20.3        8.1         352.3       
2022/3/17 13:30:00     94.5        3.7         41.4        49.6        19.8        11.5        349.6       
2022/3/17 13:45:00     91.9        9.0         41.4        50.5        19.7        5.9         349.3       
2022/3/17 14:00:00     90.4        11.6        41.1        50.3        20.0        11.1        352.1       
2022/3/17 14:15:00     91.8        8.7         40.9        48.4        20.2        12.5        354.3       
2022/3/17 14:30:00     90.0        12.8        41.1        49.2        19.6        11.7        350.9       
2022/3/17 14:45:00     86.2        20.4        41.4        50.4        19.7        10.5        348.1       
2022/3/17 15:00:00     86.5        19.1        41.2        50.5        20.3        10.9        351.2       
2022/3/17 15:15:00     89.6        13.0        41.4        50.1        20.3        8.5         349.0       
2022/3/17 15:30:00     89.9        12.8        41.2        49.0        19.9        8.5         350.1       
2022/3/17 15:45:00     87.4        17.8        41.1        50.5        19.7        6.6         350.3       
2022/3/17 16:00:00     86.3        19.7        41.5        51.7        20.0        7.7         345.3       
2022/3/17 16:15:00     88.1        15.8        40.9        50.5        20.4        9.7         352.7       
2022/3/17 16:30:00     91.8        8.6         41.3        47.8        20.3        11.3        350.2       
2022/3/17 16:45:00     92.3        8.0         41.4        51.9        19.9        5.0         349.2       
2022/3/17 17:00:00     90.7        11.2        41.1        49.7        19.8        5.9         351.9       
2022/3/17 17:15:00     89.0        14.5        41.4        48.0        19.8        11.1        348.7       
2022/3/17 17:30:00     88.3        15.9        41.3        49.9        19.9        7.1         351.9       
2022/3/17 17:45:00     88.2        16.0        41.4        52.4        20.0        7.2         351.7       
2022/3/17 18:00:00     88.6        15.3        41.3        48.8        20.0        8.9         350.1       
2022/3/17 18:15:00     87.5        17.7        41.5        51.3        19.8        6.1         348.4       
2022/3/17 18:30:00     86.4        19.7        41.4        49.2        20.0        11.0        349.0       
2022/3/17 18:45:00     87.5        17.1        41.3        51.9        20.3        4.2         349.4       
2022/3/17 19:00:00     90.5        11.0        41.3        51.5        20.3        3.8         351.1       
2022/3/17 19:15:00     90.9        10.8        41.2        52.6        19.9        5.6         349.9       
2022/3/17 19:30:00     87.8        17.2        41.4        52.0        19.6        7.5         348.4       
2022/3/17 19:45:00     85.5        21.4        41.4        51.2        20.0        4.4         348.9       
2022/3/17 20:00:00     87.1        17.8        41.1        49.1        20.3        6.0         351.0       
2022/3/17 20:15:00     89.2        13.8        41.4        48.7        20.1        11.3        347.9       
2022/3/17 20:30:00     88.3        16.1        41.2        52.1        19.8        4.2         350.0       


                                     - 2 -






2022/3/18                          Insight Job                             00:01
            Trend Interval Report : AHU-103-ALL-DATA ( Revision 4 ) 
 
Selection:  AHU-103-CW-V, AHU-103-HW-V, AHU-103-HZ-V, AHU-103-RA-RH, ...
(7 Points)
________________________________________________________________________________
2022/3/17 20:45:00     86.0        20.4        41.0        49.5        19.8        5.7         349.9       
2022/3/17 21:00:00     86.3        19.6        41.0        47.2        20.1        11.7        349.9       
2022/3/17 21:15:00     88.2        15.7        41.2        51.9        20.2        5.1         349.6       
2022/3/17 21:30:00     88.7        14.9        41.0        48.2        20.0        8.6         351.9       
2022/3/17 21:45:00     87.8        16.8        41.1        51.2        19.9        9.6         350.0       
2022/3/17 22:00:00     86.5        19.4        41.2        50.8        19.9        4.9         348.9       
2022/3/17 22:15:00     86.4        19.5        41.2        47.6        20.1        11.7        349.1       
2022/3/17 22:30:00     87.3        17.4        41.1        50.0        20.2        5.9         351.4       
2022/3/17 22:45:00     88.4        15.3        41.2        50.2        20.1        10.5        350.2       
2022/3/17 23:00:00     88.2        16.0        41.2        50.8        19.9        5.7         350.2       
2022/3/17 23:15:00     86.8        18.8        41.1        47.6        19.8        11.8        351.0       
2022/3/17 23:30:00     86.1        19.9        41.4        51.3        20.0        4.7         348.7       
2022/3/17 23:45:00     86.7        18.8        41.1        47.5        20.1        12.1        351.8       
******************************** End of Report *********************************




































                                     - 3 -



